body,make,model,year,engine,transmission,fuel,price
Hatchback,Suzuki,Alto,2021.0,660.0,Manual,Petrol,2465000.0
Hatchback,Toyota,Corolla,2020.0,2000.0,Automatic,Hybrid,9700000.0
Sedan,Toyota,Prius,2019.0,1800.0,Automatic,Hybrid,9100000.0
Hatchback,Suzuki,Wagon,2020.0,1000.0,Manual,Petrol,2700000.0
Sedan,Toyota,Prius,2019.0,1800.0,Automatic,Hybrid,8995000.0
SUV,Toyota,Fortuner,2021.0,2800.0,Automatic,Diesel,16200000.0
Hatchback,Suzuki,Cultus,2018.0,1000.0,Automatic,Petrol,3100000.0
Sedan,Honda,Civic,2007.0,1800.0,Automatic,Petrol,1950000.0
Hatchback,Suzuki,Mehran,2004.0,800.0,Manual,Petrol,735000.0
Hatchback,Suzuki,Mehran,2016.0,796.0,Manual,Petrol,1180000.0
High Roof,Toyota,Hiace,2014.0,2700.0,Automatic,Petrol,4300000.0
Sedan,Mercedes,Benz,2022.0,1500.0,Automatic,Petrol,45500000.0
Sedan,Toyota,Corolla,2016.0,1300.0,Manual,Petrol,3350000.0
Sedan,Toyota,Corolla,2018.0,1300.0,Automatic,Petrol,4200000.0
Sedan,Honda,Civic,2013.0,1800.0,Automatic,Petrol,3800000.0
Micro Van,Suzuki,Every,2022.0,660.0,Manual,Petrol,2450000.0
Sedan,Honda,Civic,2005.0,1500.0,Manual,Petrol,1500000.0
Hatchback,Suzuki,Alto,2021.0,660.0,Automatic,Petrol,3850000.0
Hatchback,Daihatsu,Cuore,2003.0,800.0,Manual,Petrol,680000.0
Sedan,BMW,3,2003.0,1800.0,Automatic,Petrol,2500000.0
Sedan,Toyota,Corolla,2006.0,1300.0,Manual,Petrol,1920000.0
Hatchback,Daihatsu,Cuore,2000.0,800.0,Manual,Petrol,700000.0
Mini Van,Changan,Karvaan,2021.0,999.0,Manual,Petrol,2850000.0
Sedan,Hyundai,Elantra,2022.0,1600.0,Automatic,Petrol,6250000.0
SUV,KIA,Sportage,2019.0,2000.0,Automatic,Petrol,6885000.0
Sedan,Honda,Civic,2018.0,1800.0,Automatic,Petrol,5250000.0
Sedan,Honda,City,2005.0,1300.0,Manual,Petrol,1550000.0
Sedan,Toyota,Corolla,2021.0,1598.0,Automatic,Petrol,5650000.0
SUV,KIA,Sportage,2020.0,2000.0,Automatic,Petrol,6875000.0
Sedan,Changan,Alsvin,2021.0,1500.0,Automatic,Petrol,4500000.0
Sedan,Honda,Civic,2008.0,1800.0,Automatic,Petrol,2250000.0
Sedan,Toyota,Corolla,2007.0,1300.0,Manual,Petrol,1850000.0
SUV,Toyota,Fortuner,2022.0,2800.0,Automatic,Diesel,18400000.0
Hatchback,KIA,Picanto,2021.0,1000.0,Automatic,Petrol,3100000.0
SUV,Hyundai,Tucson,2021.0,1999.0,Automatic,Petrol,8100000.0
Compact sedan,Honda,City,2021.0,1200.0,Automatic,Petrol,4500000.0
SUV,Toyota,Prado,2005.0,3378.0,Automatic,Petrol,9175000.0
Crossover,DFSK,Glory,2021.0,1500.0,Automatic,Petrol,6800000.0
Hatchback,Suzuki,Cultus,2005.0,1000.0,Manual,Petrol,740000.0
Sedan,Toyota,Corolla,2007.0,2000.0,Manual,Diesel,2050000.0
Sedan,Honda,Civic,2021.0,1800.0,Automatic,Petrol,6700000.0
Sedan,Toyota,Corolla,2014.0,1300.0,Manual,Petrol,2890000.0
Sedan,Honda,Civic,2018.0,1800.0,Automatic,Petrol,5750000.0
Hatchback,Suzuki,Alto,2011.0,660.0,Automatic,Petrol,2050000.0
Sedan,Honda,City,2019.0,1300.0,Automatic,Petrol,4150000.0
Sedan,Toyota,Corolla,2015.0,1798.0,Automatic,Petrol,3900000.0
Hatchback,Suzuki,Cultus,2015.0,1000.0,Manual,Petrol,1700000.0
Hatchback,KIA,Picanto,2020.0,998.0,Automatic,Petrol,2750000.0
Van,Suzuki,Bolan,2022.0,800.0,Manual,Petrol,1850000.0
Hatchback,Suzuki,Alto,2010.0,1000.0,Manual,Petrol,1100000.0
Sedan,Honda,Accord,2004.0,2000.0,Automatic,Petrol,2275000.0
Hatchback,Suzuki,Mehran,2011.0,800.0,Manual,Petrol,750000.0
Sedan,Toyota,Corolla,2005.0,1500.0,Automatic,Petrol,2890000.0
Sedan,Honda,Civic,2019.0,1800.0,Automatic,Petrol,5700000.0
Hatchback,KIA,Picanto,2022.0,998.0,Automatic,Petrol,3100000.0
Sedan,Honda,Civic,2015.0,1800.0,Automatic,Petrol,3850000.0
Sedan,Toyota,Corolla,2011.0,1300.0,Manual,Petrol,3900000.0
Hatchback,Suzuki,Alto,2020.0,660.0,Automatic,Petrol,2700000.0
Hatchback,Suzuki,Swift,2022.0,1200.0,Manual,Petrol,4070000.0
Sedan,Toyota,Corolla,2014.0,1798.0,Automatic,Petrol,3850000.0
SUV,Toyota,Fortuner,2021.0,2800.0,Automatic,Diesel,17000000.0
Hatchback,Suzuki,Wagon,2022.0,1000.0,Automatic,Petrol,3475000.0
Mini Van,FAW,X-PV,2019.0,1000.0,Manual,Petrol,113000.0
Sedan,Toyota,Yaris,2022.0,1500.0,Automatic,Petrol,5600000.0
Sedan,Toyota,Corolla,2021.0,1799.0,Automatic,Petrol,6550000.0
Mini Van,Changan,Karvaan,2021.0,1000.0,Manual,Petrol,2575000.0
Sedan,Mercedes,Benz,2004.0,1800.0,Automatic,Petrol,2500000.0
Sedan,Honda,Civic,2013.0,1800.0,Manual,Petrol,2095000.0
Hatchback,Toyota,Vitz,2010.0,1000.0,Automatic,Petrol,2120000.0
SUV,Toyota,Prado,2014.0,2700.0,Automatic,Petrol,26500000.0
Hatchback,Suzuki,Cultus,2019.0,1000.0,Automatic,Petrol,3100000.0
Sedan,Honda,City,2019.0,1300.0,Automatic,Petrol,3725000.0
Sedan,Honda,City,2019.0,1500.0,Automatic,Petrol,4500000.0
Hatchback,Suzuki,Swift,2016.0,1300.0,Manual,Petrol,2100000.0
Hatchback,Daihatsu,Cuore,2008.0,800.0,Automatic,Petrol,110000.0
Sedan,Toyota,Corolla,2004.0,1600.0,Automatic,Petrol,2000000.0
Hatchback,Toyota,Passo,2007.0,1000.0,Automatic,Petrol,1565000.0
Hatchback,Suzuki,Alto,2018.0,660.0,Automatic,Petrol,3450000.0
Hatchback,Suzuki,Mehran,2018.0,796.0,Manual,Petrol,1475000.0
Van,Suzuki,Bolan,2021.0,800.0,Manual,Petrol,184000.0
Sedan,Toyota,Corolla,2009.0,1300.0,Manual,Petrol,2550000.0
Sedan,Honda,Civic,2011.0,1800.0,Automatic,Petrol,2500000.0
Sedan,Toyota,Corolla,2015.0,1300.0,Manual,Petrol,3450000.0
Hatchback,Suzuki,Alto,2021.0,660.0,Manual,Petrol,2395000.0
Hatchback,Suzuki,Mehran,2015.0,800.0,Manual,Petrol,1150000.0
Sedan,Toyota,Corolla,2022.0,1598.0,Automatic,Petrol,6150000.0
Hatchback,Suzuki,Alto,2020.0,660.0,Automatic,Petrol,2650000.0
Hatchback,Suzuki,Wagon,2021.0,1000.0,Manual,Petrol,2850000.0
Double Cabin,Toyota,Hilux,2011.0,4000.0,Automatic,Petrol,6500000.0
Hatchback,Toyota,Vitz,2007.0,1300.0,Automatic,Petrol,2050000.0
Compact sedan,Honda,City,2022.0,1200.0,Manual,Petrol,4550000.0
Sedan,Toyota,Corolla,2015.0,1300.0,Automatic,Petrol,4100000.0
Hatchback,Suzuki,Cultus,2015.0,1000.0,Manual,Petrol,1480000.0
Sedan,Honda,Civic,2002.0,1600.0,Manual,Petrol,1355000.0
SUV,Toyota,Prado,2013.0,4000.0,Automatic,Petrol,23500000.0
Hatchback,Suzuki,Swift,2012.0,1300.0,Manual,Petrol,2000000.0
Hatchback,Suzuki,Wagon,2019.0,1000.0,Manual,Petrol,2375000.0
Sedan,Toyota,Corolla,2015.0,1600.0,Automatic,Petrol,3450000.0
SUV,Toyota,Prado,2008.0,2700.0,Automatic,Petrol,10200000.0
SUV,Toyota,Land,2012.0,4608.0,Automatic,Petrol,28500000.0
Compact sedan,Honda,City,2022.0,1200.0,Manual,Petrol,4650000.0
Hatchback,Suzuki,Alto,2010.0,1000.0,Manual,Petrol,1125000.0
Hatchback,Suzuki,Alto,2019.0,660.0,Automatic,Petrol,2395000.0
Hatchback,KIA,Picanto,2020.0,998.0,Automatic,Petrol,2750000.0
Sedan,Toyota,Corolla,1994.0,1600.0,Automatic,Petrol,1250000.0
Sedan,Toyota,Corolla,2014.0,1800.0,Manual,Petrol,3950000.0
Hatchback,Suzuki,Cultus,2004.0,1000.0,Manual,Petrol,950000.0
Hatchback,Suzuki,Mehran,2003.0,800.0,Manual,Petrol,700000.0
Sedan,Toyota,Corona,1990.0,1600.0,Manual,Petrol,1450000.0
Hatchback,Suzuki,Wagon,2017.0,1000.0,Manual,Petrol,1930000.0
Mini Van,Daihatsu,Hijet,2013.0,660.0,Automatic,Petrol,1500000.0
Sedan,Toyota,Corolla,2014.0,1798.0,Automatic,Petrol,3500000.0
Sedan,Toyota,Prius,2014.0,1800.0,Automatic,Petrol,5360000.0
SUV,Toyota,Fortuner,2022.0,2800.0,Automatic,Diesel,19700000.0
Sedan,Honda,City,2015.0,1300.0,Manual,Petrol,3500000.0
SUV,KIA,Sportage,2021.0,2000.0,Automatic,Petrol,7975000.0
SUV,Toyota,Fortuner,2019.0,2800.0,Automatic,Diesel,14200000.0
Double Cabin,Toyota,Hilux,2019.0,2800.0,Automatic,Diesel,10900000.0
Sedan,Toyota,Corolla,2021.0,1800.0,Automatic,Petrol,6700000.0
Sedan,Honda,Civic,2014.0,1800.0,Automatic,Petrol,3450000.0
Sedan,Toyota,Corolla,2012.0,1300.0,Manual,Petrol,2545000.0
Sedan,Toyota,Corolla,2016.0,1300.0,Manual,Petrol,3050000.0
Sedan,Toyota,Corolla,2020.0,1800.0,Automatic,Petrol,8000000.0
Hatchback,Honda,N,2014.0,660.0,Automatic,Petrol,2400000.0
Sedan,Honda,Civic,2010.0,1800.0,Automatic,Petrol,2285000.0
Sedan,Honda,City,2018.0,1300.0,Manual,Petrol,3395000.0
Sedan,Toyota,Corolla,2007.0,1300.0,Manual,Petrol,1850000.0
Hatchback,Suzuki,Alto,2020.0,660.0,Automatic,Petrol,2500000.0
SUV,Proton,X70,2021.0,1500.0,Automatic,Petrol,8000000.0
Hatchback,Suzuki,Wagon,2018.0,1000.0,Manual,Petrol,2400000.0
Sedan,Honda,City,2011.0,1300.0,Automatic,Petrol,2300000.0
Hatchback,Suzuki,Alto,2021.0,660.0,Manual,Petrol,2475000.0
Hatchback,Suzuki,Alto,2009.0,1000.0,Manual,Petrol,970000.0
Sedan,Toyota,Yaris,2021.0,1500.0,Automatic,Petrol,5000000.0
Sedan,Hyundai,Elantra,2021.0,1999.0,Automatic,Petrol,6500000.0
Hatchback,Suzuki,Wagon,2022.0,1000.0,Automatic,Petrol,3450000.0
Hatchback,Suzuki,Cultus,2021.0,1000.0,Manual,Petrol,2990000.0
Hatchback,Toyota,Vitz,2019.0,1000.0,Automatic,Petrol,4250000.0
Hatchback,Daihatsu,Cuore,2012.0,800.0,Manual,Petrol,1200000.0
Sedan,Toyota,Corolla,2014.0,1300.0,Manual,Petrol,3280000.0
Hatchback,Suzuki,Cultus,2005.0,1000.0,Manual,Petrol,725000.0
Sedan,Honda,Civic,2015.0,1800.0,Automatic,Petrol,4500000.0
Sedan,Toyota,Corolla,2009.0,1300.0,Manual,Petrol,2050000.0
Sedan,Honda,City,2016.0,1300.0,Automatic,Petrol,2980000.0
SUV,KIA,Sportage,2021.0,1999.0,Automatic,Petrol,7500000.0
Sedan,Honda,Civic,2020.0,1800.0,Automatic,Petrol,6700000.0
MPV,Honda,BR-V,2019.0,1500.0,Automatic,Petrol,3965000.0
Hatchback,Suzuki,Cultus,2011.0,1000.0,Manual,Petrol,1170000.0
Hatchback,Suzuki,Wagon,2022.0,1000.0,Manual,Petrol,3125000.0
Sedan,Proton,Saga,2022.0,1299.0,Automatic,Petrol,3250000.0
Hatchback,Suzuki,Mehran,2016.0,796.0,Manual,Petrol,950000.0
Sedan,Toyota,Corolla,2012.0,1600.0,Automatic,Petrol,3750000.0
Hatchback,Suzuki,Alto,2022.0,660.0,Automatic,Petrol,2950000.0
Hatchback,Suzuki,Wagon,2017.0,1000.0,Manual,Petrol,1950000.0
MPV,KIA,Grand,2021.0,3470.0,Automatic,Petrol,15500000.0
Hatchback,Suzuki,Mehran,2008.0,800.0,Manual,Petrol,600000.0
Crossover,MG,HS,2022.0,1500.0,Automatic,Petrol,7500000.0
Sedan,Toyota,Corolla,2021.0,1598.0,Automatic,Petrol,5885000.0
Hatchback,Suzuki,Wagon,2019.0,1000.0,Manual,Petrol,2350000.0
Sedan,Honda,City,2014.0,1500.0,Automatic,Petrol,3250000.0
Hatchback,Suzuki,Mehran,2007.0,800.0,Manual,Petrol,680000.0
Sedan,Toyota,Corolla,2011.0,1300.0,Manual,Petrol,2700000.0
Sedan,Toyota,Corolla,2018.0,1800.0,Automatic,Petrol,4900000.0
Sedan,Honda,Civic,2017.0,1800.0,Automatic,Petrol,4850000.0
Hatchback,Suzuki,Cultus,2006.0,1000.0,Manual,Petrol,675000.0
Sedan,Honda,Civic,2016.0,1800.0,Manual,Petrol,3200000.0
Hatchback,Suzuki,Wagon,2019.0,660.0,Automatic,Hybrid,3790000.0
SUV,Volkswagen,Up,2016.0,999.0,Automatic,Petrol,3050000.0
Hatchback,Suzuki,Wagon,2019.0,1000.0,Manual,Petrol,2375000.0
Hatchback,Suzuki,Mehran,2018.0,796.0,Manual,Petrol,1585000.0
Sedan,Honda,Accord,2004.0,2000.0,Automatic,Petrol,1950000.0
MPV,Honda,BR-V,2017.0,1500.0,Automatic,Petrol,4250000.0
Hatchback,Nissan,Dayz,2022.0,659.0,Automatic,Petrol,4050000.0
Hatchback,Nissan,Dayz,2021.0,659.0,Automatic,Hybrid,3950000.0
Hatchback,Toyota,Vitz,2019.0,996.0,Automatic,Petrol,4650000.0
Hatchback,Toyota,Aqua,2013.0,1500.0,Automatic,Hybrid,3550000.0
Hatchback,Nissan,Dayz,2020.0,659.0,Automatic,Petrol,3890000.0
Hatchback,Suzuki,Swift,2018.0,1300.0,Automatic,Petrol,2980000.0
Sedan,Honda,Civic,2017.0,1800.0,Automatic,Petrol,5190000.0
Compact SUV,Changan,Oshan,2022.0,1499.0,Automatic,Petrol,9200000.0
Sedan,Honda,City,2019.0,1300.0,Automatic,Petrol,4100000.0
Sedan,Toyota,Premio,2014.0,1800.0,Automatic,Petrol,7600000.0
Hatchback,Toyota,Vitz,2014.0,1000.0,Automatic,Petrol,3550000.0
Sedan,Toyota,Corolla,2007.0,1500.0,Automatic,Petrol,3295000.0
Sedan,Honda,Civic,2018.0,1800.0,Automatic,Petrol,5350000.0
SUV,Range,Rover,2006.0,2700.0,Automatic,Diesel,12000000.0
Double Cabin,Toyota,Tundra,2007.0,5663.0,Automatic,Petrol,8900000.0
MPV,Honda,BR-V,2019.0,1500.0,Manual,Petrol,4800000.0
Sedan,Honda,Civic,2007.0,1800.0,Automatic,Petrol,1950000.0
Hatchback,Daihatsu,Mira,2016.0,660.0,Automatic,Petrol,2390000.0
Sedan,Toyota,Corolla,2018.0,1300.0,Automatic,Petrol,4475000.0
Sedan,Honda,Civic,2002.0,1500.0,Manual,Petrol,1350000.0
Hatchback,Suzuki,Alto,2006.0,1000.0,Manual,Petrol,900000.0
Hatchback,Suzuki,Swift,2015.0,1300.0,Manual,Petrol,2050000.0
Hatchback,Toyota,Vitz,2007.0,1000.0,Automatic,Petrol,1980000.0
Sedan,Honda,City,2017.0,1300.0,Automatic,Petrol,3500000.0
Hatchback,Suzuki,Alto,2010.0,1000.0,Automatic,Petrol,980000.0
Sedan,Honda,City,2018.0,1500.0,Automatic,Petrol,3950000.0
Hatchback,Suzuki,Mehran,2011.0,800.0,Manual,Petrol,820000.0
Sedan,Toyota,Corolla,2014.0,1300.0,Automatic,Petrol,3135000.0
Hatchback,Suzuki,Cultus,2007.0,1000.0,Manual,Petrol,800000.0
Sedan,Honda,Civic,2018.0,1800.0,Automatic,Petrol,5550000.0
Sedan,Honda,Civic,2018.0,1800.0,Automatic,Petrol,5550000.0
Crossover,Honda,Vezel,2018.0,1500.0,Automatic,Hybrid,8190000.0
SUV,Toyota,Prado,2016.0,2700.0,Automatic,Petrol,22000000.0
Hatchback,Suzuki,Alto,2019.0,660.0,Automatic,Petrol,2650000.0
Hatchback,Suzuki,Alto,2020.0,658.0,Automatic,Petrol,3690000.0
Compact SUV,KIA,Sorento,2022.0,3479.0,Automatic,Petrol,10500000.0
Sedan,Honda,Civic,2011.0,1800.0,Automatic,Petrol,2300000.0
Hatchback,Suzuki,Alto,2019.0,660.0,Automatic,Petrol,3550000.0
Hatchback,Suzuki,Alto,2008.0,1000.0,Manual,Petrol,1050000.0
Hatchback,Hyundai,Santro,2004.0,1000.0,Manual,Petrol,850000.0
Hatchback,Toyota,Vitz,2019.0,996.0,Automatic,Petrol,4890000.0
Sedan,Honda,City,2019.0,1300.0,Automatic,Petrol,4040000.0
Sedan,Toyota,Corolla,1993.0,1500.0,Automatic,Petrol,1630000.0
Crossover,Mazda,Flair,2020.0,660.0,Automatic,Petrol,3500000.0
Hatchback,Daihatsu,Mira,2019.0,660.0,Automatic,Petrol,3850000.0
Hatchback,Toyota,Passo,2020.0,1000.0,Automatic,Petrol,4590000.0
Hatchback,Toyota,Passo,2020.0,1000.0,Automatic,Petrol,4350000.0
Hatchback,Toyota,Passo,2020.0,1000.0,Automatic,Petrol,4390000.0
Hatchback,Suzuki,Alto,2019.0,660.0,Automatic,Petrol,3390000.0
Crossover,Honda,Vezel,2022.0,1496.0,Automatic,Hybrid,12200000.0
Hatchback,Daihatsu,Mira,2019.0,660.0,Automatic,Petrol,3790000.0
Hatchback,Suzuki,Wagon,2019.0,660.0,Automatic,Hybrid,3990000.0
Hatchback,Suzuki,Wagon,2019.0,660.0,Automatic,Hybrid,3850000.0
Hatchback,Suzuki,Cultus,2021.0,1000.0,Manual,Petrol,3150000.0
Hatchback,Suzuki,Wagon,2021.0,660.0,Automatic,Hybrid,4290000.0
Sedan,Toyota,Corolla,2022.0,1598.0,Automatic,Petrol,6475000.0
Hatchback,Toyota,Vitz,2013.0,1000.0,Automatic,Petrol,2750000.0
Coupe,Mazda,RX8,2003.0,1300.0,Automatic,Petrol,2500000.0
Micro Van,Nissan,Clipper,2018.0,660.0,Automatic,Petrol,2350000.0
Sedan,Honda,Civic,2007.0,1800.0,Automatic,Petrol,2550000.0
Sedan,Mercedes,Benz,2007.0,1800.0,Automatic,Petrol,5500000.0
Hatchback,Suzuki,Mehran,2007.0,800.0,Manual,Petrol,600000.0
Sedan,Honda,Civic,2014.0,1800.0,Automatic,Petrol,3900000.0
Sedan,Toyota,Corolla,2003.0,1600.0,Automatic,Petrol,1780000.0
Hatchback,Suzuki,Wagon,2014.0,660.0,Automatic,Petrol,2290000.0
Sedan,Honda,City,2011.0,1300.0,Manual,Petrol,2195000.0
Sedan,Honda,City,2012.0,1300.0,Manual,Petrol,2650000.0
Sedan,Hyundai,Sonata,2021.0,1999.0,Automatic,Petrol,9300000.0
SUV,Toyota,Prado,2003.0,3400.0,Automatic,Petrol,9200000.0
SUV,Toyota,Land,2016.0,4600.0,Automatic,Petrol,47500000.0
Hatchback,Nissan,Dayz,2019.0,659.0,Automatic,Hybrid,3650000.0
Van,Suzuki,Bolan,2013.0,800.0,Manual,Petrol,1000000.0
Sedan,Suzuki,Liana,2006.0,1300.0,Manual,Petrol,930000.0
Hatchback,Toyota,Vitz,2019.0,996.0,Automatic,Petrol,5090000.0
Hatchback,Toyota,Vitz,2019.0,996.0,Automatic,Petrol,4950000.0
Crossover,DFSK,Glory,2021.0,1498.0,Automatic,Petrol,6200000.0
Hatchback,Suzuki,Alto,2020.0,660.0,Automatic,Petrol,2600000.0
Sedan,Audi,A3,2019.0,1200.0,Automatic,Petrol,8750000.0
Sedan,Toyota,Corolla,2016.0,1800.0,Automatic,Petrol,4700000.0
Sedan,Honda,Civic,2008.0,1800.0,Automatic,Petrol,1735000.0
Sedan,Honda,City,2018.0,1500.0,Automatic,Petrol,3950000.0
Hatchback,Suzuki,Alto,2021.0,660.0,Manual,Petrol,2750000.0
Hatchback,Suzuki,Mehran,2009.0,800.0,Manual,Petrol,780000.0
Sedan,Honda,Civic,2007.0,1800.0,Automatic,Petrol,2200000.0
Hatchback,Daihatsu,Esse,2011.0,660.0,Automatic,Petrol,1550000.0
Van,Toyota,Hiace,2022.0,2800.0,Automatic,Diesel,30000000.0
Sedan,Honda,City,2021.0,1500.0,Automatic,Petrol,4520000.0
Double Cabin,Toyota,Hilux,2017.0,3000.0,Automatic,Diesel,8700000.0
Sedan,Toyota,Corolla,2013.0,1600.0,Automatic,Petrol,3590000.0
Compact sedan,Honda,City,2021.0,1200.0,Automatic,Petrol,4550000.0
Sedan,Hyundai,Sonata,2022.0,2500.0,Automatic,Petrol,10900000.0
Sedan,Toyota,Corolla,2014.0,1300.0,Automatic,Petrol,3150000.0
Sedan,Honda,Civic,2017.0,1800.0,Automatic,Petrol,4850000.0
Hatchback,Suzuki,Wagon,2022.0,1000.0,Automatic,Petrol,3495000.0
SUV,Land,Rover,2013.0,2198.0,Manual,Diesel,15000000.0
Sedan,Toyota,Corolla,2016.0,1300.0,Manual,Petrol,3550000.0
